slot,name,tone_bytes_hex,volume,bender_dco,bender_vcf,bender_lfo,portamento,key_mode,transpose,master_tune_cents,velocity,unit_character,product_chorus_noise,polyphony,oversample_factor,frames,sample_peak,sample_peak_dbfs,samples_over_0dbfs,max_400ms_stereo_rms,max_400ms_stereo_rms_dbfs,relative_gate_db,gated_windows,total_windows,relative_gated_stereo_rms,relative_gated_stereo_rms_dbfs,corpus_median_gated_rms_dbfs,gated_delta_from_median_db,crest_db,warnings
A11,"Brass Set 1",1431006600230d3a00566c03312d20005111,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.265250772,-11.526866861,0,0.063202396,-23.985329164,-43.985329164,196,259,0.019876903,-34.033025749,-31.649175361,-2.383850388,22.506158888,""
A12,"Brass Swell",06300038002b111a00544b40762625465219,0.591000021,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.232323065,-12.678153412,0,0.072120964,-22.838769558,-42.838769558,211,259,0.037099425,-28.612656528,-31.649175361,3.036518833,15.934503116,""
A13,"Trumpet",342d086600372218013b7f05423010003209,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.176482975,-15.065943654,0,0.042154637,-27.503092932,-47.503092932,204,259,0.014773102,-36.610565872,-31.649175361,-4.961390511,21.544622218,""
A14,"Flutes",3c2b01000037200a0b297f17510012003201,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.073738702,-22.646090271,0,0.022802075,-32.840512522,-52.840512522,102,259,0.008603268,-41.306731413,-31.649175361,-9.657556052,18.660641142,""
A15,"Moving Strings",3f000027004d1404006f220d5758230e1a10,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.145141989,-16.764138595,0,0.041421316,-27.655522167,-47.655522167,219,259,0.020368458,-33.820836835,-31.649175361,-2.171661474,17.056698240,""
A16,"Brass & Strings",23000038004c110400294e2c42352c174918,0.579999983,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.266934246,-11.471914113,0,0.087633553,-21.146591644,-41.146591644,222,259,0.034260742,-29.304064803,-31.649175361,2.345110558,17.832150690,""
A17,"Choir",3b0e0d19003b5e02003e7f440b7f30004a09,0.382999986,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.264228463,-11.560408024,0,0.079097948,-22.036695658,-42.036695658,230,259,0.037118943,-28.608087921,-31.649175361,3.041087440,17.047679897,""
A18,"Piano I",1431005000410c0a001b670042001e562a11,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.237728521,-12.478374222,0,0.071927887,-22.862053913,-42.862053913,97,259,0.026192153,-31.636575863,-31.649175361,0.012599498,19.158201641,""
A21,"Organ I",360f0035002b4c0e017f64000a520017291c,0.449999988,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.195473477,-14.178243228,0,0.061799065,-24.180361905,-44.180361905,219,259,0.036929342,-28.652568601,-31.649175361,2.996606760,14.474325374,""
A22,"Organ II",2c0f003500354c0e01554a000a52003a4a1c,0.546999991,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.250042409,-12.039726522,0,0.069395466,-23.173378091,-43.173378091,218,259,0.036929604,-28.652507061,-31.649175361,2.996668300,16.612780539,""
