slot,name,tone_bytes_hex,volume,bender_dco,bender_vcf,bender_lfo,portamento,key_mode,transpose,master_tune_cents,velocity,unit_character,product_chorus_noise,polyphony,oversample_factor,frames,sample_peak,sample_peak_dbfs,samples_over_0dbfs,max_400ms_stereo_rms,max_400ms_stereo_rms_dbfs,relative_gate_db,gated_windows,total_windows,relative_gated_stereo_rms,relative_gated_stereo_rms_dbfs,corpus_median_gated_rms_dbfs,gated_delta_from_median_db,crest_db,warnings
A11,"Brass Set 1",1431006600230d3a00566c03312d20005111,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.200520352,-13.956830854,0,0.047407990,-26.482969200,-46.482969200,196,259,0.014892685,-36.540539758,-34.142022447,-2.398517311,22.583708904,""
A12,"Brass Swell",06300038002b111a00544b40762625465219,0.591000021,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.173380435,-15.219998260,0,0.054056580,-25.343028651,-45.343028651,211,259,0.027746738,-31.135761227,-34.142022447,3.006261220,15.915762967,""
A13,"Trumpet",342d086600372218013b7f05423010003209,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.134267822,-17.440561123,0,0.031665193,-29.988357210,-49.988357210,205,259,0.011057371,-39.126962400,-34.142022447,-4.984939953,21.686401277,""
A14,"Flutes",3c2b01000037200a0b297f17510012003201,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.056070391,-25.025328294,0,0.017110744,-35.334622106,-55.334622106,102,259,0.006469741,-43.782262434,-34.142022447,-9.640239987,18.756934140,""
A15,"Moving Strings",3f000027004d1404006f220d5758230e1a10,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.107323267,-19.386122346,0,0.031006216,-30.171024511,-50.171024511,219,259,0.015258818,-36.329582370,-34.142022447,-2.187559923,16.943460024,""
A16,"Brass & Strings",23000038004c110400294e2c42352c174918,0.579999983,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.190711707,-14.392452938,0,0.064230386,-23.845189339,-43.845189339,222,259,0.025255353,-31.952931243,-34.142022447,2.189091204,17.560478306,""
A17,"Choir",3b0e0d19003b5e02003e7f440b7f30004a09,0.382999986,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.198485062,-14.045443475,0,0.059637910,-24.489551729,-44.489551729,230,259,0.027978451,-31.063526604,-34.142022447,3.078495843,17.018083129,""
A18,"Piano I",1431005000410c0a001b670042001e562a11,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.177126586,-15.034324939,0,0.053973844,-25.356332984,-45.356332984,97,259,0.019638203,-34.137965290,-34.142022447,0.004057157,19.103640350,""
A21,"Organ I",360f0035002b4c0e017f64000a520017291c,0.462000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.156278536,-16.122013332,0,0.046212880,-26.704739287,-46.704739287,219,259,0.027892432,-31.090272428,-34.142022447,3.051750019,14.968259095,""
A22,"Organ II",2c0f003500354c0e01554a000a52003a4a1c,0.556999981,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.188403696,-14.498211642,0,0.052648453,-25.572287759,-45.572287759,218,259,0.027923648,-31.080557041,-34.142022447,3.061465406,16.582345398,""
A23,"Combo Organ",4b150939003f4604006d6000302b2e3d2c0d,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.147627085,-16.616679086,0,0.047103589,-26.538920079,-46.538920079,216,259,0.023047772,-32.747421003,-34.142022447,1.394601444,16.130741917,""
A24,"Calliope",52280b0000571b11003859077f7f06304a0b,0.768999994,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.213094383,-13.428559936,0,0.052495497,-25.597558925,-45.597558925,215,259,0.025595112,-31.836859397,-34.142022447,2.305163050,18.408299461,""
A25,"Donald Pluck",4c1509390049690f004e5202052b0a7f2c07,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.119446337,-18.456543264,0,0.037225877,-28.583101347,-48.583101347,216,259,0.017457074,-35.160570717,-34.142022447,-1.018548270,16.704027454,""
A26,"Celeste* (1 oct.up)",1c00000000211836002660002c00510f2c19,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",12,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.144691333,-16.791149636,0,0.033936335,-29.386701361,-49.386701361,35,259,0.015688217,-36.088528117,-34.142022447,-1.946505670,19.297378481,""
A27,"Elect. Piano I",3b00000000101f3d06237f01552b28002901,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.118945599,-18.493032474,0,0.023538402,-32.564460516,-52.564460516,110,259,0.008714872,-41.194779519,-34.142022447,-7.052757072,22.701747045,""
A28,"Elect. Piano II",000000470032450700506600440016004911,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.162885576,-15.762347415,0,0.051271845,-25.802421021,-45.802421021,97,259,0.018515335,-34.649368305,-34.142022447,-0.507345858,18.887020890,""
A31,"Clock Chimes* (1 oct. up)",3b000000162c7f00007f68003000337f441b,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",12,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.124514125,-18.095627560,0,0.029243199,-30.679502375,-50.679502375,60,259,0.011558354,-38.742080465,-34.142022447,-4.600058018,20.646452906,""
A32,"Steel Drums",2135002009472e1a007f7f001a0025214a1b,0.744000018,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.304169804,-10.337678046,0,0.053747400,-25.392850820,-45.392850820,28,259,0.027805440,-31.117404484,-34.142022447,3.024617963,20.779726439,""
A33,"Xylophone",00000000001d183600337f001d1d260f2c19,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.247638211,-12.123646854,0,0.040004413,-27.957841980,-47.957841980,25,259,0.021909470,-33.187362410,-34.142022447,0.954660037,21.063715556,""
A34,"Brass III",341400230042180b000c7f3a645e25165219,0.393999994,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.202369779,-13.877086837,0,0.053111197,-25.496278175,-45.496278175,216,259,0.027968102,-31.066740230,-34.142022447,3.075282217,17.189653393,""
